lang,langType,territory,revGenDate,defs,dftLang
en-RW,en,RW,,2,False
en-SB,en,SB,,1,False
en-SC,en,SC,,2,False
en-SD,en,SD,,1,False
en-SE,en,SE,,3,False
en-SG,en,SG,,2,False
en-SH,en,SH,,2,False
en-SI,en,SI,,1,False
en-SL,en,SL,,2,False
en-SS,en,SS,,2,False
en-SX,en,SX,,2,False
en-SZ,en,SZ,,2,False
en-TC,en,TC,,0,False
en-TK,en,TK,,2,False
en-TO,en,TO,,1,False
en-TT,en,TT,,1,False
en-TV,en,TV,,2,False
en-TZ,en,TZ,,2,False
en-UG,en,UG,,2,False
en-UM,en,UM,,0,False
en-US,en,US,,0,False
en-US-POSIX,en,US,,2,False
en-VC,en,VC,,1,False
en-VG,en,VG,,0,False
en-VI,en,VI,,0,False
en-VU,en,VU,,1,False
en-WS,en,WS,,1,False
en-ZA,en,ZA,,3,False
en-ZM,en,ZM,,2,False
en-ZW,en,ZW,,1,False
eo,eo,,,8,False
eo-001,eo,1,,0,False
es,es,,,11,False
es-419,es,419,,7,False
es-AR,es,AR,,4,False
es-BO,es,BO,,3,False
es-BR,es,BR,,1,False
es-BZ,es,BZ,,1,False
es-CL,es,CL,,4,False
es-CO,es,CO,,4,False
es-CR,es,CR,,4,False
es-CU,es,CU,,1,False
es-DO,es,DO,,5,False
es-EA,es,EA,,0,False
es-EC,es,EC,,3,False
es-ES,es,ES,,0,False
es-GQ,es,GQ,,1,False
es-GT,es,GT,,4,False
es-HN,es,HN,,3,False
es-IC,es,IC,,0,False
es-MX,es,MX,,7,False
es-NI,es,NI,,3,False
es-PA,es,PA,,3,False
es-PE,es,PE,,3,False
es-PH,es,PH,,2,False
es-PR,es,PR,,4,False
es-PY,es,PY,,5,False
es-SV,es,SV,,3,False
es-US,es,US,,8,False
es-UY,es,UY,,2,False
es-VE,es,VE,,3,False
et,et,,,10,False
et-EE,et,EE,,0,False
eu,eu,,,10,False
eu-ES,eu,ES,,0,False
ewo,ewo,,,6,False
ewo-CM,ewo,CM,,0,False
fa,fa,,,11,False
fa-AF,fa,AF,,4,False
fa-IR,fa,IR,,0,False
ff,ff,,,6,False
ff-Latn,ff,,,0,False
ff-Latn-BF,ff,BF,,0,False
ff-Latn-CM,ff,CM,,0,False
ff-Latn-GH,ff,GH,,1,False
ff-Latn-GM,ff,GM,,1,False
ff-Latn-GN,ff,GN,,1,False
ff-Latn-GW,ff,GW,,0,False
ff-Latn-LR,ff,LR,,1,False
ff-Latn-MR,ff,MR,,2,False
ff-Latn-NE,ff,NE,,0,False
ff-Latn-NG,ff,NG,,1,False
ff-Latn-SL,ff,SL,,1,False
ff-Latn-SN,ff,SN,,0,False
fi,fi,,,11,False
fi-FI,fi,FI,,0,False
fil,fil,,,10,False
fil-PH,fil,PH,,0,False
fo,fo,,,9,False
fo-DK,fo,DK,,1,False
fo-FO,fo,FO,,0,False
fr,fr,,,11,False
fr-BE,fr,BE,,2,False
fr-BF,fr,BF,,0,False
fr-BI,fr,BI,,1,False
fr-BJ,fr,BJ,,0,False
fr-BL,fr,BL,,0,False
fr-CA,fr,CA,,7,False
fr-CD,fr,CD,,2,False
fr-CF,fr,CF,,0,False
fr-CG,fr,CG,,0,False
fr-CH,fr,CH,,4,False
fr-CI,fr,CI,,1,False
fr-CM,fr,CM,,1,False
fr-DJ,fr,DJ,,2,False
fr-DZ,fr,DZ,,2,False
fr-FR,fr,FR,,0,False
fr-GA,fr,GA,,0,False
fr-GF,fr,GF,,1,False
fr-GN,fr,GN,,1,False
fr-GP,fr,GP,,0,False
fr-GQ,fr,GQ,,0,False
fr-HT,fr,HT,,3,False
fr-KM,fr,KM,,1,False
fr-LU,fr,LU,,2,False
fr-MA,fr,MA,,3,False
fr-MC,fr,MC,,0,False
fr-MF,fr,MF,,0,False
fr-MG,fr,MG,,1,False
fr-ML,fr,ML,,2,False
fr-MQ,fr,MQ,,0,False
fr-MR,fr,MR,,2,False
fr-MU,fr,MU,,1,False
fr-NC,fr,NC,,0,False
fr-NE,fr,NE,,0,False
fr-PF,fr,PF,,0,False
fr-PM,fr,PM,,0,False
fr-RE,fr,RE,,2,False
fr-RW,fr,RW,,1,False
fr-SC,fr,SC,,1,False
